property_code,be_department_slug,be_department,be_section,dept_code,account,account_name,pl_line,section,original_class,pct_variable,map_source,excluded_from_be,source_rows
OJO,rooms,Rooms,PAYROLL,0110,6000,Salary and Wages,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6000
OJO,rooms,Rooms,PAYROLL,0110,6001,Overtime,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6001
OJO,rooms,Rooms,PAYROLL,0110,6002,Day Off,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6002
OJO,rooms,Rooms,PAYROLL,0110,6003,Working Holiday,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6003
OJO,rooms,Rooms,PAYROLL,0110,6004,Disabilities,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,ANALOGIA,false,mismo depto/PAYROLL
OJO,rooms,Rooms,PAYROLL,0110,6010,Commissions,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6010
OJO,rooms,Rooms,PAYROLL,0110,6020,Social Security,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6020
OJO,rooms,Rooms,PAYROLL,0110,6021,Christmas bonus,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6021
OJO,rooms,Rooms,PAYROLL,0110,6022,Work Risk Policy,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6022
OJO,rooms,Rooms,PAYROLL,0110,6023,Vacations Accrual,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6023
OJO,rooms,Rooms,PAYROLL,0110,6024,Vacations Taken,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6024
OJO,rooms,Rooms,PAYROLL,0110,6025,Cafeteria,OPEX_ROOMS,OPERATING EXPENSES,Variable,1.0,GL,false,CWL rooms/6025
